"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"Z081718",2014,"BLA","F",0,0,"BLA",0,0
"Z081719",2014,"BLA","M",0,0,"BLA",0,0
"Z081720",2014,"BLA","F",0,1,"BLA",0,0
"Z081720",2017,"BLA","F",0,0,"BLA",1,3
"Z081735",2016,"SER","F",0,1,"SER",0,0
"Z081735",2017,"SER","F",0,0,"SER",0,1
"Z081747",2015,"SER","M",0,1,"SER",0,0
"Z081747",2016,"SER","M",0,0,"SER",0,1
"Z081748",2015,"SER","F",0,0,"SER",0,0
"Z081757",2015,"NEW","F",0,1,"NEW",0,0
"Z081757",2016,"NEW","F",0,0,"NEW",0,1
"Z081798",2015,"SER","M",0,0,"SER",0,0
"Z081799",2015,"SER","F",0,1,"SER",0,0
"Z081799",2016,"SER","F",0,1,"SER",0,1
"Z081799",2017,"SER","F",0,0,"SER",0,1
"Z081800",2015,"MCH","F",0,0,"MCH",0,0
"Z081801",2014,"BLG","M",0,0,"BLG",0,0
"Z081814",2014,"NEW","M",0,1,"NEW",0,0
"Z081814",2015,"NEW","M",0,0,"NEW",0,1
"Z081815",2014,"MUN","F",0,0,"MUN",0,0
"Z081816",2014,"FSH","F",0,0,"FSH",0,0
"Z081833",2014,"DNC","M",0,0,"DNC",0,0
"Z081834",2014,"DOR","F",0,1,"DOR",0,0
"Z081834",2015,"DOR","F",0,1,"DOR",0,1
"Z081834",2016,"DOR","F",0,1,"DOR",0,1
"Z081834",2017,"DOR","F",0,1,"DOR",0,1
"Z081834",2018,"DOR","F",0,0,"DOR",0,1
"Z081835",2014,"DOR","M",0,1,"DOR",0,0
"Z081835",2015,"DOR","M",0,0,"DOR",0,1
"Z081836",2014,"DOR","F",0,0,"DOR",0,0
"Z081837",2014,"CAR","M",0,0,"CAR",0,0
"Z081838",2014,"KCK","F",0,0,"KCK/KCZ",0,0
"Z081839",2014,"BLG","F",0,0,"BLG",0,0
"Z081848",2014,"TAI","M",0,1,"TAI",0,0
"Z081848",2016,"TAI","M",0,1,"TAI",1,2
"Z081848",2017,"TAI","M",0,1,"TAI",0,1
"Z081848",2018,"TAI","M",0,0,"TAI",0,1
"Z081849",2014,"TAI","F",0,0,"TAI",0,0
"Z081852",2014,"DOR","F",0,0,"DOR",0,0
"Z081853",2014,"INS","M",0,1,"INS",0,0
"Z081853",2016,"INS","M",0,0,"INS",1,2
"Z081854",2014,"INS","F",0,0,"INS",0,0
"Z081855",2014,"CRU","M",0,1,"CRU",0,0
"Z081855",2015,"CRU","M",0,0,"CRU",0,1
"Z081856",2014,"CRU","F",0,0,"CRU",0,0
"Z081857",2014,"DLW","F",0,1,"DLW",0,0
"Z081857",2015,"DLW","F",0,1,"DLW",0,1
"Z081857",2016,"DLW","F",0,1,"DLW",0,1
"Z081857",2017,"DLW","F",0,0,"DLW",0,1
"Z081858",2014,"BLG","F",0,1,"BLG",0,0
"Z081858",2015,"BLG","F",0,0,"BLG",0,1
"Z081859",2014,"DOR","M",0,0,"DOR",0,0
"Z081860",2014,"DAV","M",0,1,"DAV",0,0
"Z081860",2015,"DAV","M",0,1,"DAV",0,1
"Z081860",2016,"DAV","M",0,0,"DAV",0,1
"Z081861",2014,"CRU","M",0,0,"CRU",0,0
"Z081862",2014,"CAL","M",0,1,"CAL",0,0
"Z081862",2015,"CAL","M",0,0,"CAL",0,1
"Z081863",2014,"KCK","M",0,0,"KCK/KCZ",0,0
"Z081936",2016,"FOF","M",0,1,"FOF",0,0
"Z081936",2017,"FOF","M",0,0,"FOF",0,1
"Z081954",2016,"BLG","M",0,0,"BLG",0,0
"Z081955",2017,"BLG","F",0,0,"BLG",0,0
"Z081960",2015,"BLG","M",0,1,"BLG",0,0
"Z081960",2016,"BLG","M",0,0,"BLG",0,1
"Z081993",2015,"CAR","M",0,1,"CAR",0,0
"Z081993",2017,"CAR","M",0,0,"CAR",1,2
"Z081994",2015,"CAR","F",0,0,"CAR",0,0
"Z163897",2017,"LVN","F",0,1,"LVN",0,0
"Z163897",2018,"LVN","F",0,1,"LVN",0,1
"Z163897",2019,"LVN","F",0,0,"LVN",0,1
"Z163900",2018,"LVN","F",0,0,"LVN",0,0
"Z163907",2017,"LVN","M",0,0,"LVN",0,0
"Z164020",2018,"LVN","M",0,1,"LVN",0,0
"Z164020",2019,"LVN","M",0,1,"LVN",0,1
"Z164020",2020,"LVN","M",0,1,"LVN",0,1
"Z164020",2021,"LVN","M",0,0,"LVN",0,1
"Z632032",2015,"DAV","M",0,1,"DAV",0,0
"Z632032",2016,"DAV","M",0,1,"DAV",0,1
"Z632032",2017,"DAV","M",0,0,"DAV",0,1
"Z632041",2015,"CAR","F",0,1,"CAR",0,0
"Z632041",2017,"CAR","F",0,0,"CAR",1,2
"Z632115",2015,"AVI","F",0,0,"AVI",0,0
"Z632133",2015,"ALN","F",0,1,"ALN",0,0
"Z632133",2016,"ALN","F",0,0,"ALN",0,1
"Z632134",2015,"ALN","M",0,0,"ALN",0,0
"Z632188",2015,"BLG","M",0,0,"BLG",0,0
"Z632203",2015,"NEW","F",0,0,"NEW",0,0
"Z632209",2015,"DAV","M",0,0,"DAV",0,0
"Z632210",2015,"FOU","M",0,0,"FOU",0,0
"Z632211",2015,"FOU","M",0,0,"FOU",0,0
"Z632212",2015,"FOU","F",0,0,"FOU",0,0
"Z632213",2015,"DEL","F",0,0,"DEL",0,0
"Z632221",2015,"CAR","M",0,0,"CAR",0,0
"Z632252",2015,"PTH","F",0,0,"PTH",0,0
"Z632253",2015,"PTH","M",0,1,"PTH",0,0
"Z632253",2016,"PTH","M",0,1,"PTH",0,1
"Z632253",2017,"PTH","M",0,0,"PTH",0,1
"Z632270",2015,"DEL","M",0,1,"DEL",0,0
"Z632270",2016,"DEL","M",0,1,"DEL",0,1
"Z632270",2017,"DEL","M",0,1,"DEL",0,1
"Z632270",2018,"DEL","M",0,1,"DEL",0,1
"Z632270",2019,"DEL","M",0,0,"DEL",0,1
"Z632271",2015,"DEL","F",0,1,"DEL",0,0
"Z632271",2016,"DEL","F",0,0,"DEL",0,1
"Z632274",2015,"MUN","M",0,0,"MUN",0,0
"Z632275",2015,"MUN","F",0,0,"MUN",0,0
"Z632281",2015,"CAR","M",0,0,"CAR",0,0
"Z632282",2015,"CAR","F",0,0,"CAR",0,0
"Z632283",2015,"FSH","F",0,0,"FSH",0,0
"Z632284",2015,"NEW","F",0,1,"NEW",0,0
"Z632284",2016,"NEW","F",0,1,"NEW",0,1
"Z632284",2017,"NEW","F",0,1,"NEW",0,1
"Z632284",2018,"NEW","F",0,0,"NEW",0,1
"Z632285",2015,"CAL","F",0,0,"CAL",0,0
"Z632286",2015,"CAL","M",0,0,"CAL",0,0
"Z632287",2015,"DUN","F",0,0,"DUN",0,0
"Z632288",2015,"PTH","M",0,1,"PTH",0,0
"Z632288",2016,"PTH","M",0,0,"PTH",0,1
"Z632289",2015,"PTH","F",0,0,"PTH",0,0
"Z632324",2015,"AVI","F",0,1,"AVI",0,0
"Z632324",2019,"AVI","F",0,0,"AVI",1,4
"Z632326",2015,"AVN","F",0,0,"AVN",0,0
