"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"Z632853",2016,"NEW","F",0,0,"NEW",0,0
"Z632854",2016,"FOU","M",0,0,"FOU",0,0
"Z632855",2016,"ALN","F",0,0,"ALN",0,0
"Z632856",2016,"ALN","M",0,0,"ALN",0,0
"Z632857",2016,"SPD","M",0,0,"SPD",0,0
"Z632858",2016,"SPD","F",0,0,"SPD",0,0
"Z632859",2016,"MUN","M",0,0,"MUN",0,0
"Z632860",2016,"MUN","M",0,1,"MUN",0,0
"Z632860",2017,"MUN","M",0,1,"MUN",0,1
"Z632860",2018,"MUN","M",0,1,"MUN",0,1
"Z632860",2019,"MUN","M",0,0,"MUN",0,1
