"year","site","mean_temp","total_precip","mean_mean_temp","rel_mean_temp","mean_total_precip","rel_total_precip"
2014,"ALN",1.28619834710744,477.72,1.41634968161496,-0.130151334507519,351.501,126.219
2015,"ALN",1.54959016393443,401.8,1.41634968161496,0.133240482319469,351.501,50.299
2016,"ALN",2.05867768595041,268.79,1.41634968161496,0.642328004335456,351.501,-82.711
2017,"ALN",0.24801652892562,291.07,1.41634968161496,-1.16833315268934,351.501,-60.431
2018,"ALN",1.94396694214876,276.46,1.41634968161496,0.527617260533803,351.501,-75.041
2019,"ALN",1.94229508196721,452.58,1.41634968161496,0.525945400352256,351.501,101.079
2020,"ALN",1.11884297520661,359.48,1.41634968161496,-0.297506706408346,351.501,7.97900000000004
2021,"ALN",1.79528925619835,284.04,1.41634968161496,0.37893957458339,351.501,-67.461
2022,"ALN",1.13561983471074,300.87,1.41634968161496,-0.280729846904214,351.501,-50.631
2023,"ALN",1.085,402.2,1.41634968161496,-0.331349681614957,351.501,50.699
2016,"ART",2.1904132231405,242.76,1.65529205053516,0.535121172605338,290.01875,-47.25875
2017,"ART",0.474049586776859,241.12,1.65529205053516,-1.1812424637583,290.01875,-48.89875
2018,"ART",2.23760330578512,245.31,1.65529205053516,0.582311255249966,290.01875,-44.70875
2019,"ART",2.12647540983607,395.6,1.65529205053516,0.471183359300908,290.01875,105.58125
2020,"ART",1.36355371900826,331.63,1.65529205053516,-0.291738331526893,290.01875,41.61125
2021,"ART",2.03190082644628,263.25,1.65529205053516,0.376608775911123,290.01875,-26.76875
2022,"ART",1.42752066115702,259.57,1.65529205053516,-0.227771389378133,290.01875,-30.44875
2023,"ART",1.39081967213115,340.91,1.65529205053516,-0.26447237840401,290.01875,50.89125
2014,"AVI",-0.651239669421488,506.7,-0.325023574041458,-0.32621609538003,413.7,93
2015,"AVI",-0.244344262295082,557.7,-0.325023574041458,0.0806793117463759,413.7,144
2016,"AVI",0.505619834710744,325.95,-0.325023574041458,0.830643408752202,413.7,-87.75
2017,"AVI",-1.59735537190083,262.98,-0.325023574041458,-1.27233179785937,413.7,-150.72
2018,"AVI",0.417851239669422,337.53,-0.325023574041458,0.742874813710879,413.7,-76.17
2019,"AVI",0.385901639344262,579.86,-0.325023574041458,0.71092521338572,413.7,166.16
2020,"AVI",-0.591652892561984,452.39,-0.325023574041458,-0.266629318520526,413.7,38.69
2021,"AVI",-0.0652066115702479,373.12,-0.325023574041458,0.25981696247121,413.7,-40.58
2022,"AVI",-0.686776859504132,326.35,-0.325023574041458,-0.361753285462674,413.7,-87.35
2023,"AVI",-0.723032786885246,414.42,-0.325023574041458,-0.398009212843788,413.7,0.720000000000027
2015,"AVN",-0.0865573770491803,562.52,-0.126122852970841,0.0395654759216607,411.834444444444,150.685555555556
2016,"AVN",0.677272727272727,331.86,-0.126122852970841,0.803395580243568,411.834444444444,-79.9744444444444
2017,"AVN",-1.43528925619835,266.32,-0.126122852970841,-1.30916640322751,411.834444444444,-145.514444444444
2018,"AVN",0.602396694214876,342,-0.126122852970841,0.728519547185717,411.834444444444,-69.8344444444444
2019,"AVN",0.561311475409836,598.6,-0.126122852970841,0.687434328380677,411.834444444444,186.765555555556
2020,"AVN",-0.417272727272727,470.74,-0.126122852970841,-0.291149874301886,411.834444444444,58.9055555555556
2021,"AVN",0.0875206611570248,386.05,-0.126122852970841,0.213643514127866,411.834444444444,-25.7844444444444
2022,"AVN",-0.527520661157025,329.89,-0.126122852970841,-0.401397808186184,411.834444444444,-81.9444444444445
2023,"AVN",-0.596967213114754,418.53,-0.126122852970841,-0.470844360143913,411.834444444444,6.69555555555553
2014,"BAD",0.237685950413223,425.05,0.861713995393578,-0.624028044980355,441.534,-16.484
2015,"BAD",1.08237704918033,606.11,0.861713995393578,0.22066305378675,441.534,164.576
2016,"BAD",1.54553719008264,325.44,0.861713995393578,0.683823194689067,441.534,-116.094
2017,"BAD",-0.582314049586777,392.65,0.861713995393578,-1.44402804498035,441.534,-48.884
2018,"BAD",1.10247933884298,262.02,0.861713995393578,0.240765343449397,441.534,-179.514
2019,"BAD",1.4655737704918,564.95,0.861713995393578,0.603859775098225,441.534,123.416
2020,"BAD",0.46900826446281,520.95,0.861713995393578,-0.392705730930768,441.534,79.4160000000001
2021,"BAD",1.36768595041322,344.3,0.861713995393578,0.505971955019645,441.534,-97.234
2022,"BAD",0.55099173553719,443.24,0.861713995393578,-0.310722259856388,441.534,1.70600000000002
2023,"BAD",1.37811475409836,530.63,0.861713995393578,0.516400758704783,441.534,89.096
2014,"BIR",0.0991735537190083,369.17,0.714452919658583,-0.615279365939575,377.596,-8.42599999999999
2015,"BIR",0.854672131147541,659.65,0.714452919658583,0.140219211488958,377.596,282.054
2016,"BIR",1.44404958677686,258.24,0.714452919658583,0.729596667118277,377.596,-119.356
2017,"BIR",-0.646776859504132,274.38,0.714452919658583,-1.36122977916272,377.596,-103.216
