"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"DUN"	"2013"	"2.8892199572405"	"2.38020943380597"	"2.87356295753052"	"3.31333981513002"	"3.56937408919079"	"2.66172473021564"	"2.63293966740934"	"2.7599675728255"	"2.6683001717276"	"2.70329475448342"	"2.49083025618892"	"3.80869672122096"
"BLG"	"2013"	"3.92188751486387"	"3.11995234822216"	"3.98676541903396"	"4.40035062830117"	"4.32182504502092"	"3.21448748183483"	"3.34712635463145"	"3.2936619054116"	"3.60887516293197"	"3.71810616600483"	"3.3364690985838"	"4.90658055393164"
"PIT"	"2013"	"4.3247326267568"	"3.37992674009451"	"4.30405545623453"	"4.72806853893702"	"4.63951722837819"	"3.41390777217955"	"3.5689218056729"	"3.50145395601904"	"3.90321101572664"	"4.06118810980503"	"3.76069892832325"	"5.44869997157667"
"KCK"	"2013"	"3.32437220366829"	"2.62591570092466"	"3.51888519800664"	"3.89967970255651"	"3.83290371745656"	"2.83951531652729"	"3.07810845151841"	"2.8378913458914"	"3.13785742256689"	"3.1579669164566"	"2.7937338386784"	"4.18694336726098"
"KCZ"	"2013"	"3.32437220366829"	"2.62591570092466"	"3.51888519800664"	"3.89967970255651"	"3.83290371745656"	"2.83951531652729"	"3.07810845151841"	"2.8378913458914"	"3.13785742256689"	"3.1579669164566"	"2.7937338386784"	"4.18694336726098"
"BLA"	"2013"	"3.28207986183979"	"2.54820205106253"	"3.50394603454575"	"3.84063780891214"	"3.66488890547142"	"2.73554503982414"	"2.9839999152025"	"2.71581930043586"	"3.05231018354341"	"3.05945513272596"	"2.79543557817876"	"4.28033470102391"
"CAL"	"2013"	"3.99866714438704"	"3.17928451725472"	"4.05716898424222"	"4.45793636811869"	"4.26261551160163"	"3.09751328585047"	"3.3546015112557"	"3.24871919983413"	"3.50314310229383"	"3.64531325162878"	"3.82261588120368"	"5.62904444994334"
"DNM"	"2013"	"3.62968495674928"	"3.03100766660412"	"3.69370328283479"	"4.04678305256677"	"4.12226097094829"	"2.9123441646376"	"3.15688235504026"	"3.04211280088417"	"3.16050672250665"	"3.31757608817744"	"3.23662364783976"	"5.03524777893575"
"DNC"	"2013"	"4.51416794484932"	"3.79156337577818"	"4.26332318946452"	"4.72214378976172"	"4.81528627389232"	"3.32667291428571"	"3.48620489818803"	"3.51339523089978"	"3.71732663402782"	"3.999444547027"	"3.99266695709141"	"6.30356613416481"
"DNS"	"2013"	"5.71315486547995"	"4.8415119101208"	"4.59063733359631"	"5.69877293911661"	"5.70276516797068"	"3.91284847137673"	"4.00293528968505"	"4.35204456665183"	"4.5055731995631"	"5.00983031731157"	"5.20772141640768"	"8.00968264627002"
"DLW"	"2013"	"4.49307463391"	"3.65172458222684"	"2.99476732138254"	"4.41505144924797"	"4.11328875870583"	"2.99758003640476"	"3.08159806092166"	"3.17651862932549"	"3.29408701823151"	"3.62978860299036"	"3.53093452414391"	"5.95169544125253"
"CRU"	"2013"	"4.79013940673817"	"3.30359103806574"	"4.5389207275032"	"4.87507703941426"	"4.01604834684655"	"3.28368686955123"	"3.33914349458009"	"3.20015475875079"	"3.98022025570517"	"3.91931964441645"	"3.77042561445507"	"5.96330973244121"
"NEW"	"2013"	"3.9326114185189"	"2.58453860873443"	"4.21191727732828"	"4.02712434136872"	"3.58019322660995"	"2.86316933834686"	"2.85153464292168"	"2.62413172906925"	"3.42544665087688"	"3.10589759372475"	"2.95749658326019"	"4.78027678914791"
"HWP"	"2013"	"3.08517848003754"	"1.97256612576165"	"2.95505774214672"	"3.00075140607686"	"2.71648647076241"	"2.09587002482152"	"1.84598722639302"	"1.9576218991953"	"2.49067185739235"	"2.27091386320829"	"1.70590772348314"	"3.36688543159708"
"INS"	"2013"	"3.91425855699393"	"2.37950470036507"	"3.80104168405189"	"3.81434360793036"	"3.17711973073602"	"2.59714035845421"	"2.4690552621779"	"2.40658138494599"	"3.18117574460752"	"3.03059443607611"	"2.31023390506645"	"4.25216760356074"
"FSH"	"2013"	"3.57047569036482"	"2.14799487594439"	"3.21888500344525"	"3.37609198490964"	"2.81896257482977"	"2.22712812782209"	"1.92854899649442"	"2.12732205209174"	"2.70446760839247"	"2.65058244496137"	"1.86377255464969"	"3.77734577436182"
